rating,waktu,text_clean,text_preprocessed
5,2022-06-23 15:33:45,sangat membantu urusan jadi lebih mudah namun buka aplikasinya terasa berat banget sering muter muter lama thank salam sukses,"['membantu', 'urusan', 'mudah', 'buka', 'aplikasi', 'berat', 'banget', 'muter', 'muter', 'thank', 'salam', 'sukses']"
1,2022-06-23 15:00:18,udah pengajuan menambah speed iconnet dari mbps ke mbps katanya nnti akan di infokan melalui apa gtu gmail atau pesan sampe sekarang belum ada info apa,"['udah', 'aju', 'tambah', 'speed', 'iconnet', 'mbps', 'mbps', 'nnti', 'info', 'gtu', 'gmail', 'pesan', 'sampe', 'info']"
1,2022-06-23 14:59:38,aplikasi membingungkan bagaimana pelanggan akan memahami apa itu slo apa itu nidi tidak ada penjelasan detail contoh saya ingin memasang listrik baruubah daya sangat bingung intinya pembodohan,"['aplikasi', 'bingung', 'langgan', 'paham', 'slo', 'nidi', 'jelas', 'detail', 'contoh', 'pasang', 'listrik', 'baruubah', 'daya', 'bingung', 'inti', 'bodoh']"
1,2022-06-23 14:43:33,kan sy mau pasang iconnet nih terus tdi teknisi sdh dtng tpi tidak bisa di pasang karena belum tersedianya tower di dekat rmh saya tpi sebelum itu saya cek di aplikasi ini sdh tercover terus saya mengajukan refund tpi sudah lebih dari  bulan belum ada tanggapan dari pln nya,"['sy', 'pasang', 'iconnet', 'nih', 'tdi', 'teknisi', 'sdh', 'dtng', 'tpi', 'pasang', 'sedia', 'tower', 'rmh', 'tpi', 'cek', 'aplikasi', 'sdh', 'tercover', 'aju', 'refund', 'tpi', 'tanggap', 'pln', 'nya']"
5,2022-06-23 14:17:21,kenapa pln mobil blum bisa top up saldokog masih lwat accont bank biaya adminnya mahal di banding aplikasi lain mungkin klo bisa top up biaya lebih murah dari yg lain,"['pln', 'mobil', 'blum', 'top', 'up', 'saldokog', 'lwat', 'accont', 'bank', 'biaya', 'adminnya', 'mahal', 'banding', 'aplikasi', 'klo', 'top', 'up', 'biaya', 'murah', 'yg']"
4,2022-06-23 12:06:59,apk aneh udah input data ga bs lognin  sdh dpt kode otp pas di kirim masalah jaringmasalah server lah periksa jaringan pas udah masuk mau cek tagihan sdh masukan idpl malah ga bisa jaringan dan server bermasalah gangguan pusat periksa oprator  mau mu apaaa mengen mempermudah malah buang buang kuaota dan menuhin ram hp aja  apa hapus aja ya,"['apk', 'aneh', 'udah', 'input', 'data', 'ga', 'bs', 'lognin', 'sdh', 'dpt', 'kode', 'otp', 'pas', 'kirim', 'jaringmasalah', 'server', 'periksa', 'jaring', 'pas', 'udah', 'masuk', 'cek', 'tagih', 'sdh', 'masuk', 'idpl', 'ga', 'jaring', 'server', 'masalah', 'ganggu', 'pusat', 'periksa', 'oprator', 'mu', 'apaaa', 'ken', 'mudah', 'buang', 'buang', 'kuaota', 'menuhin', 'ram', 'hp', 'aja', 'hapus', 'aja', 'ya']"
3,2022-06-23 11:57:45,ubah ke bintang  ya sering error aplikasinya tidak bisa cek riwayat pembelian token tolong diperhatikan,"['ubah', 'bintang', 'ya', 'error', 'aplikasi', 'cek', 'riwayat', 'beli', 'token', 'tolong', 'perhati']"
5,2022-06-23 11:16:59,aplikasi nya lengkap bgt saya udah pernah pakai fitur pengaduan dan langsung diresponsiipp semakin memudahkan buat pelanggan,"['aplikasi', 'nya', 'lengkap', 'bgt', 'udah', 'pakai', 'fitur', 'adu', 'langsung', 'diresponsiipp', 'mudah', 'langgan']"
5,2022-06-23 10:58:56,aplikasinya sangat membantu sekali terutama dalam pembayaran cepat ketika malam males keluar langsung bisa isi dengan pln mobile biaya admin terjangkau dan sangat keren sekali membantu pelanggan dalam memudahkan yang berkaitan dengan pln sukses selalu pln mobile,"['aplikasi', 'bantu', 'bayar', 'cepat', 'malam', 'males', 'langsung', 'isi', 'pln', 'mobile', 'biaya', 'admin', 'jangkau', 'keren', 'bantu', 'langgan', 'mudah', 'kait', 'pln', 'sukses', 'pln', 'mobile']"
5,2022-06-23 10:58:08,semakin mudah untuk pembayaransemakin mudah isi token biaya adminnya murahpasang baru dan perubahan daya prosesnya lebih muda,"['mudah', 'pembayaransemakin', 'mudah', 'isi', 'token', 'biaya', 'adminnya', 'murahpasang', 'ubah', 'daya', 'proses', 'muda']"
